epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,553.208,3.51829,4.02907,3.75365,0.0548,0.0686,0.01271,0.00413,2.85597,5.18032,3.08388,0.000663805,0.000663805,0.000663805
2,1063.86,2.9062,3.52043,2.95202,0.14518,0.09968,0.04148,0.01357,2.68835,3.70232,2.86805,0.00130413,0.00130413,0.00130413
3,1581.11,2.73917,3.18909,2.69398,0.09313,0.12004,0.04312,0.01487,2.49048,3.36019,2.58595,0.00191805,0.00191805,0.00191805
4,2106.2,2.59482,2.9749,2.54214,0.33848,0.2283,0.17735,0.0733,2.32838,2.78894,2.4861,0.0018812,0.0018812,0.0018812
5,2625.73,2.48992,2.83162,2.45395,0.26784,0.18114,0.12384,0.05104,2.45358,3.12204,2.50948,0.0018416,0.0018416,0.0018416
6,3147.91,2.39592,2.72858,2.34842,0.40892,0.2926,0.22398,0.09565,2.28091,2.6165,2.35057,0.001802,0.001802,0.001802
7,6193.72,2.34029,2.65035,2.28217,0.41143,0.33012,0.28533,0.12748,2.16173,2.44985,2.23002,0.0017624,0.0017624,0.0017624
8,6796.1,2.2933,2.57284,2.24079,0.43344,0.33226,0.30202,0.13778,2.1198,2.40683,2.19503,0.0017228,0.0017228,0.0017228
9,7397.65,2.24948,2.49364,2.20403,0.46667,0.38733,0.34836,0.16208,2.04158,2.27656,2.11032,0.0016832,0.0016832,0.0016832
10,8000.17,2.24409,2.50062,2.20353,0.58359,0.39764,0.39663,0.19022,2.01866,2.13954,2.10708,0.0016436,0.0016436,0.0016436
11,8615.94,2.20298,2.41186,2.12843,0.49066,0.33012,0.31427,0.13692,2.1504,2.48777,2.21379,0.001604,0.001604,0.001604
12,9224.28,2.16226,2.39472,2.11005,0.50785,0.36977,0.35882,0.1598,2.03973,2.26573,2.12132,0.0015644,0.0015644,0.0015644
13,9830.79,2.14894,2.36413,2.11014,0.51549,0.37745,0.36847,0.17155,1.99306,2.20964,2.07251,0.0015248,0.0015248,0.0015248
14,10439.5,2.11788,2.28992,2.06972,0.52705,0.39014,0.38868,0.18716,1.96391,2.1912,2.04974,0.0014852,0.0014852,0.0014852
15,11049.5,2.11896,2.29395,2.06159,0.51659,0.38156,0.37868,0.16137,2.09508,2.26419,2.14654,0.0014456,0.0014456,0.0014456
16,11658.5,2.10564,2.30749,2.06808,0.53391,0.43516,0.42004,0.20374,1.89522,2.1225,1.98915,0.001406,0.001406,0.001406
17,12266.8,2.09113,2.28075,2.05336,0.55072,0.44051,0.44199,0.22302,1.90383,1.97679,1.97994,0.0013664,0.0013664,0.0013664
18,12875.6,2.06451,2.21619,2.01302,0.63893,0.42229,0.4667,0.23139,1.90339,2.01121,1.96858,0.0013268,0.0013268,0.0013268
19,13482.2,2.0808,2.21468,2.0184,0.59866,0.44445,0.47017,0.23763,1.8824,1.94695,1.95215,0.0012872,0.0012872,0.0012872
20,14090,2.0573,2.20534,2.01064,0.64037,0.42178,0.46765,0.2325,1.89061,1.97409,1.97236,0.0012476,0.0012476,0.0012476
21,14695.7,2.04182,2.17283,2.00053,0.50222,0.31083,0.3387,0.15975,2.05027,2.37542,2.1161,0.001208,0.001208,0.001208
22,15302,2.02662,2.14491,1.9829,0.62374,0.46517,0.49497,0.2481,1.85783,1.86764,1.91201,0.0011684,0.0011684,0.0011684
23,15910.7,2.01201,2.13939,1.95863,0.53644,0.44587,0.44492,0.21545,1.89899,2.00181,1.96808,0.0011288,0.0011288,0.0011288
24,16518.6,2.01223,2.12592,1.95997,0.65352,0.45285,0.49467,0.25051,1.85046,1.89894,1.9234,0.0010892,0.0010892,0.0010892
