epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,17127.6,2.00723,2.11558,1.95375,0.63556,0.47803,0.5215,0.25945,1.87626,1.81349,1.91595,0.0010496,0.0010496,0.0010496
26,17736.7,2.00822,2.10846,1.95559,0.60711,0.45546,0.49213,0.23794,1.89953,1.88502,1.95113,0.00101,0.00101,0.00101
27,18341.3,1.99962,2.09815,1.95106,0.65616,0.44793,0.50901,0.2585,1.84777,1.8247,1.9005,0.0009704,0.0009704,0.0009704
28,18947.9,1.99091,2.1005,1.94873,0.66236,0.44587,0.51134,0.25307,1.88046,1.85569,1.91933,0.0009308,0.0009308,0.0009308
29,19553.7,1.96889,2.04298,1.9235,0.59859,0.47374,0.50011,0.24746,1.87105,1.85684,1.93305,0.0008912,0.0008912,0.0008912
30,20160.5,1.98096,2.06475,1.93602,0.65348,0.47267,0.53084,0.27318,1.80455,1.78315,1.87665,0.0008516,0.0008516,0.0008516
31,20764.9,1.96242,2.02445,1.92033,0.63458,0.45338,0.50401,0.26123,1.82274,1.77514,1.87748,0.000812,0.000812,0.000812
32,21365.8,1.96035,2.02247,1.91297,0.61375,0.41896,0.48279,0.23539,1.89119,1.89885,1.94124,0.0007724,0.0007724,0.0007724
33,21972,1.93743,1.97864,1.89312,0.63069,0.45211,0.51655,0.25942,1.83652,1.77887,1.87125,0.0007328,0.0007328,0.0007328
34,22574.7,1.93244,1.96685,1.875,0.6443,0.49089,0.53306,0.28145,1.7798,1.74303,1.84868,0.0006932,0.0006932,0.0006932
35,23178.8,1.93133,1.99331,1.89278,0.63109,0.48223,0.52943,0.27717,1.79655,1.74255,1.84602,0.0006536,0.0006536,0.0006536
36,23784.4,1.92723,1.97496,1.88632,0.65362,0.47696,0.54316,0.2778,1.82797,1.72599,1.86835,0.000614,0.000614,0.000614
37,24385.4,1.92456,1.98427,1.89588,0.67628,0.4791,0.5297,0.26232,1.83045,1.79321,1.88541,0.0005744,0.0005744,0.0005744
38,24986.8,1.91187,1.95825,1.87615,0.66412,0.47374,0.53943,0.27962,1.79057,1.69414,1.85386,0.0005348,0.0005348,0.0005348
39,25587.1,1.91305,1.94207,1.86642,0.68193,0.48232,0.5527,0.29056,1.78506,1.65837,1.8353,0.0004952,0.0004952,0.0004952
40,26186.4,1.90032,1.93044,1.86552,0.66936,0.48982,0.55462,0.28207,1.78693,1.67967,1.84286,0.0004556,0.0004556,0.0004556
41,26773.1,1.87901,1.91029,1.92663,0.65753,0.48982,0.54918,0.28651,1.76694,1.64893,1.8371,0.000416,0.000416,0.000416
42,27361,1.87283,1.88289,1.91855,0.64895,0.50161,0.56228,0.293,1.77511,1.64364,1.83788,0.0003764,0.0003764,0.0003764
43,27945.2,1.86961,1.88837,1.89934,0.64428,0.50085,0.54753,0.28491,1.79009,1.67703,1.83342,0.0003368,0.0003368,0.0003368
44,28528.2,1.85794,1.86184,1.89903,0.67124,0.49458,0.55481,0.29088,1.77625,1.64322,1.8355,0.0002972,0.0002972,0.0002972
45,29113,1.84057,1.82398,1.87773,0.66804,0.48875,0.55634,0.28288,1.79239,1.67894,1.8438,0.0002576,0.0002576,0.0002576
46,29697.9,1.85016,1.84377,1.88242,0.65525,0.51743,0.57515,0.29838,1.76283,1.60258,1.82641,0.000218,0.000218,0.000218
47,30281.7,1.84322,1.82033,1.87787,0.70103,0.4951,0.58008,0.29978,1.757,1.59897,1.83225,0.0001784,0.0001784,0.0001784
48,30864,1.81873,1.81358,1.87204,0.67704,0.49732,0.58019,0.30207,1.76614,1.59004,1.82172,0.0001388,0.0001388,0.0001388
49,31446.2,1.81897,1.80266,1.86266,0.69781,0.49732,0.58762,0.30476,1.75905,1.58077,1.82307,9.92e-05,9.92e-05,9.92e-05
50,32031.6,1.82396,1.79877,1.86382,0.68814,0.50268,0.58745,0.30332,1.75137,1.5794,1.81693,5.96e-05,5.96e-05,5.96e-05
